CHARACTERS ID,Baratheon,Greyjoy ,Lannister ,Stark ,Freefolk,Targaryen,Other,King,Death,War
ARYA,0,0,0,1,0,0,0,0,0,0
BRAN,0,0,0,1,0,0,0,0,0,0
BRIENNE,0,0,0,1,0,0,1,0,0,0
BRONN,0,0,1,0,0,0,1,0,0,1
CATELYN,0,0,0,1,0,0,0,0,0,0
CERSEI,1,0,1,0,0,0,0,0,0,0
DAENERYS,0,0,0,0,0,1,1,0,0,0
DAVOS,1,0,0,0,0,0,1,0,0,1
DROGO,0,0,0,0,0,0,1,0,1,0
ELLARIA,0,0,0,0,0,0,1,0,0,0
GENDRY,1,0,0,1,0,0,0,0,0,0
GILLY,0,0,0,0,1,0,0,0,0,0
GREY_WORM,0,0,0,0,1,0,0,0,0,0
JAIME,0,0,1,0,0,0,0,0,0,0
JEOR,0,0,0,1,0,0,1,0,0,0
JOFFREY,1,0,0,0,0,0,0,0,0,0
JON,0,0,0,1,0,0,1,0,0,0
JORAH,0,0,0,0,0,1,1,0,0,0
MARGAERY,1,0,0,0,0,0,1,0,0,0
MARTYN,0,0,1,0,0,0,0,0,0,0
MELISANDRE,0,0,1,0,0,0,1,0,0,0
MISSANDEI,0,0,0,0,0,0,1,0,0,0
NED,0,0,0,1,0,0,0,0,1,0
NIGHT_KING,0,0,0,0,0,0,1,0,0,0
PETYR,1,0,0,0,0,0,1,0,0,0
RAMSAY,0,0,0,1,0,0,1,0,0,0
ROBB,0,0,0,1,0,0,0,0,0,0
ROBERT,1,0,0,0,0,0,0,0,1,0
SAMWELL,0,0,0,1,0,0,1,0,0,0
SANDOR,0,0,0,1,0,0,1,0,0,0
SANSA,0,0,0,1,0,0,0,0,0,0
SHAE,0,0,1,0,0,0,1,0,0,0
STANNIS,1,0,0,0,0,0,0,0,0,1
THEON,0,1,0,0,0,0,0,0,0,0
TOMMEN,1,0,0,0,0,0,0,0,0,0
TORMUND,0,0,0,0,1,0,0,0,0,0
TYRION,1,0,1,0,0,0,0,0,0,1
TYWIN,1,0,1,0,0,0,0,0,0,1
VARYS,1,0,0,0,0,0,1,0,0,0
VISERYS,0,0,0,0,0,1,0,0,1,0
WHITE_WALKER,0,0,0,0,0,0,1,0,0,0
YGRITTE,0,0,0,0,1,0,0,0,0,0
